ФИО	Страна	Возраст	Рост, см	Вес	Пол	Дата рождения	Место рождения	Золото	Серебро	Бронза	Всего	Вид спорта	Состязание
Lamusi A	People's Republic of China	23	170	60	М	06 02 1989	NEIMONGGOL (CHN)	0	0	0	0	Judo	Men's -60kg
A G Kruger	United States of America	33	193	125	М	2 18 1979	Sheldon (USA)	0	0	0	0	Athletics	Men's Hammer Throw
Jamale Aarrass	France	30	187	76	М	11 15 1981	BEZONS (FRA)	0	0	0	0	Athletics	Men's 1500m
Abdelhak Aatakni	Morocco	24			М	02 09 1988	AIN SEBAA (MAR)	0	0	0	0	Boxing	Men's Light Welter (64kg)
Maria Abakumova	Russian Federation	26	178	85	Ж	1 15 1986	STAVROPOL REGION (RUS)	0	0	0	0	Athletics	Women's Javelin Throw
Luc Abalo	France	27	182	80	М	09 06 1984		0	0	0	0	Handball	Men's Handball
Maria Laura Abalo	Argentina	30	182	73	Ж	8 17 1981		0	0	0	0	Rowing	Women's Pair
Mohamed Abarhoun	Morocco	23	187	75	М	05 03 1989		0	0	0	0	Football	Men's Football
Emanuele Abate	Italy	27	190	80	М	07 08 1985	Genova (ITA)	0	0	0	0	Athletics	Men's 110m Hurdles
Ilyas Abbadi	Algeria	19	170		М	10 21 1992	MEDEA (ALG)	0	0	0	0	Boxing	Men's Welter (69kg)
Sohail Abbas	Pakistan	37			М	06 09 1975		0	0	0	0	Hockey	Men's Hockey
Shakeel Abbasi	Pakistan	28			М	01 05 1984		0	0	0	0	Hockey	Men's Hockey
Soulmaz Abbasiazad	Islamic Republic of Iran	28	173	60	Ж	1 19 1984		0	0	0	0	Rowing	Women's Single Sculls
Simona Abbate	Italy	28	171	64	Ж	8 22 1983	FONDI (ITA)	0	0	0	0	Water Polo	Women's Water Polo
Ahmed Abd Elgaber	Egypt	22	171	62	М	7 30 1990		0	0	0	0	Football	Men's Football
Reem Abdalazem	Egypt	19	167		Ж	11 25 1992	GIZA (EGY)	0	0	0	0	Synchronised Swimming	Women's Teams
Mohamed Fawzi Abdalla	United Arab Emirates	22	175	63	М	2 22 1990		0	0	0	0	Football	Men's Football
Mohamed Abdel Baki	Egypt	25	162	69	М	7 18 1987	FAYOUM	0	0	0	0	Weightlifting	Men's 69kg
Hesham Abdelaal	Egypt	18	167		М	09 05 1993	ELDAKAHLIA (EGY)	0	0	0	0	Boxing	Men's Fly (52kg)
Tarek Abdelazim	Egypt	25	175	85	М	5 18 1987	ELMENIA	0	0	0	0	Weightlifting	Men's 85kg
Shaza Abdelrahman	Egypt	19	170		Ж	12 23 1992	Cairo (EGY)	0	0	0	0	Synchronised Swimming	Women's Duets, Women's Teams
Mouni Abderrahim	Algeria	26	171	60	Ж	11 19 1985		0	0	0	0	Volleyball	Women's Volleyball
Youcef Abdi	Australia	34	177	66	М	12 07 1977	AZAZGA (ALG)	0	0	0	0	Athletics	Men's 3000m Steeplechase
Abdihakem Abdirahman	United States of America	35	180	61	М	01 01 1977	HARGISA (SOM)	0	0	0	0	Athletics	Men's Marathon
Moustapha Abdoulaye Hima	Niger	20	183		М	01 01 1992		0	0	0	0	Boxing	Men's Welter (69kg)
Dana Abdul Razak	Iraq	26	165	55	Ж	01 03 1986	BAGHDAD (IRQ)	0	0	0	0	Athletics	Women's 100m
Magomed Abdulhamidov	Azerbaijan	25	167		М	11 16 1986		0	0	0	0	Boxing	Men's Bantam (56kg)
Muminjon Abdullaev	Uzbekistan	22			М	12 24 1989	SAMARKAND REGION (UZB)	0	0	0	0	Wrestling	Men's 120kg Greco-Roman
Layes Abdullayeva	Azerbaijan	21	170	47	Ж	5 29 1991	Addis Ababa (ETH)	0	0	0	0	Athletics	Women's 5000m
Rasul Abduraim	Kyrgyzstan	23	180		М	12 12 1988	Bishkek (KGZ)	0	0	0	0	Taekwondo	Men's -80kg
Yusup Abdusalomov	Tajikistan	34	173	84	М	11 08 1977	MAKHACHKALA (RUS)	0	0	0	0	Wrestling	Men's 84kg Freestyle
Saeid Morad Abdvali	Islamic Republic of Iran	22	170	66	М	11 04 1989	ANDIMESHK (IRI)	0	0	0	0	Wrestling	Men's 66kg Greco-Roman
Mojtaba Abedini	Islamic Republic of Iran	27	179	82	М	08 11 1984		0	0	0	0	Fencing	Men's Individual Sabre
Jennifer Abel	Canada	20	160	62	Ж	8 23 1991	Montreal (CAN)	0	0	1	1	Diving	Women's 3m Springboard, Women's Synchronised 3m Springboard
Yaritza Abel Rojas	Cuba	28		62	Ж	8 26 1983	Santiago de Cuba	0	0	0	0	Judo	Women's -63kg
Pablo Abian	Spain	27	177	78	М	06 12 1985	CALATAYUD	0	0	0	0	Badminton	Men's Singles
Tomomi Abiko	Japan	24	173	53	Ж	3 17 1988	KUSATSU (JPN)	0	0	0	0	Athletics	Women's Pole Vault
Camille Abily	France	27	168	60	Ж	12 05 1984		0	0	0	0	Football	Women's Football
Endurance Abinuwa	Nigeria	25	159	54	Ж	7 31 1987	Sapele (NGR)	0	0	0	0	Athletics	Women's 4 x 400m Relay
Khalil Mahmoud K Abir Abdelrahman	Egypt	20	162	75	Ж	6 13 1992	Alexandria	0	0	0	0	Weightlifting	Women's 75kg
Denis Ablyazin	Russian Federation	20	161		М	08 03 1992	Penza (RUS)	0	0	0	0	Gymnastics - Artistic	Men's Team, Men's Qualification
Bukola Abogunloko	Nigeria	17	170	53	Ж	8 18 1994	IJERO	0	0	0	0	Athletics	Women's 4 x 400m Relay
Aminata Aboubakar Yacoub	Congo	23	166	68	Ж	6 22 1989	EPENA (CGO)	0	0	0	0	Swimming	Women's 50m Freestyle
Rabah Aboud	Algeria	31	180	64	М	01 01 1981	TISSEMSILT (ALG)	0	0	0	0	Athletics	Men's 5000m
Gabrielle Aboudi Onguene	Cameroon	23	152	58	Ж	2 25 1989		0	0	0	0	Football	Women's Football
Alaaeldin Abouelkassem	Egypt	21	188	82	М	11 25 1990		0	1	0	1	Fencing	Men's Individual Foil, Men's Team Foil
Abouhalima Abouhalima	Egypt	18	153	55	М	11 19 1993	ALEX (EGY)	0	0	0	0	Wrestling	Men's 55kg Greco-Roman
Mohamed Aboutrika	Egypt	33	182	77	М	11 07 1978		0	0	0	0	Football	Men's Football
Arnaldo Abrantes	Portugal	25	184	78	М	11 27 1986	ALMADA (POR)	0	0	0	0	Athletics	Men's 200m
Amir Abrashi	Switzerland	22	172	70	М	3 27 1990		0	0	0	0	Football	Men's Football
Erika Abril	Colombia	34	158	47	Ж	3 29 1978	SAN JOSE DE PARE (COL)	0	0	0	0	Athletics	Women's Marathon
Laura Valentina Abril Restrepo	Colombia	22	162	50	Ж	1 28 1990	LA CUMBRE (COL)	0	0	0	0	Cycling - Mountain Bike	Women's Cross-country
Julien Absalon	France	31	180	68	М	8 16 1980	Remiremont (FRA)	0	0	0	0	Cycling - Mountain Bike	Men's Cross-country
Ayele Abshero	Ethiopia	21	168	62	М	12 28 1990	YEBOBA (ETH)	0	0	0	0	Athletics	Men's Marathon
Methkal Abu Drais	Jordan	28	168	62	М	12 29 1983	ALARDAH (JOR)	0	0	0	0	Athletics	Men's Marathon
Maher Abu Rmilah	Palestine	28	172	72	М	8 24 1983	Jerusalem (PLE)	0	0	0	0	Judo	Men's -73kg
Mohammad Abulibdeh	Jordan	28	183		М	10 22 1983	Amman (JOR)	0	0	0	0	Taekwondo	Men's -68kg
Kanat Abutalipov	Kazakhstan	29	168		М	3 22 1983	Astana (KAZ)	0	0	0	0	Boxing	Men's Bantam (56kg)
Irina Abysova	Russian Federation	31	175	58	Ж	11 07 1980	Moscow (RUS)	0	0	0	0	Triathlon	Women's Triathlon
Raidel Acea	Cuba	21			М	10 31 1990	CIENFUEGOS (CUB)	0	0	0	0	Athletics	Men's 4 x 400m Relay
Abraham Acevedo	Paraguay	22		65	М	09 12 1989	ASUNCION	0	0	0	0	Judo	Men's -66kg
Loreto Achaerandio	Spain	20	164		Ж	9 13 1991	Madrid (ESP)	0	0	0	0	Gymnastics - Rhythmic	Group All-Around
Kieron Achara	Great Britain	29	208	110	М	07 03 1983		0	0	0	0	Basketball	Men's Basketball
Georgios Achilleos	Cyprus	31	172	80	М	12 24 1980	London (GBR)	0	0	0	0	Shooting	Men's Skeet
Janet Achola	Uganda	24	167	52	Ж	6 26 1988	LIRA (UGA)	0	0	0	0	Athletics	Women's 1500m
Natalie Achonwa	Canada	19	192	83	Ж	11 22 1992		0	0	0	0	Basketball	Women's Basketball
Dallal Merwa Achour	Algeria	17	175	60	Ж	11 03 1994		0	0	0	0	Volleyball	Women's Volleyball
Haikel Achouri	Tunisia	27	184	84	М	8 29 1984	Tunis (TUN)	0	0	0	0	Wrestling	Men's 84kg Greco-Roman
Chantal Achterberg	Netherlands	27	171	72	Ж	4 16 1985		0	0	1	1	Rowing	Women's Eight
Luz Mercedes Acosta Valdez	Mexico	31	166	63	Ж	12 22 1980	Sonora	0	0	0	0	Weightlifting	Women's 63kg
Amy Acuff	United States of America	37	188	66	Ж	7 14 1975	Port Arthur (USA)	0	0	0	0	Athletics	Women's High Jump
Crox Acuna Rodriguez	Venezuela	22	192	89	М	6 23 1990	Maracay (VEN)	0	0	0	0	Swimming	Men's 4x100m Freestyle Relay
Mariko Adachi	Japan	29	162	51	Ж	7 21 1983	HIRAKATA (JPN)	0	0	0	0	Triathlon	Women's Triathlon
Yumi Adachi	Japan	23	160		Ж	02 07 1989	Saitama (JPN)	0	0	0	0	Synchronised Swimming	Women's Teams
Idrissa Adam	Cameroon	27	178	79	М	12 28 1984	GAROUA (CMR)	0	0	0	0	Athletics	Men's 100m
Tomasz Adamiec	Poland	30	171	73	М	4 13 1982	HAJNOWKA (POL)	0	0	0	0	Judo	Men's -73kg
Antoine Adams	Saint Kitts and Nevis	23	180	79	М	8 31 1988	Basseterre (SKN)	0	0	0	0	Athletics	Men's 100m, Men's 200m, Men's 4 x 100m Relay
Cammile Adams	United States of America	20	173	65	Ж	09 11 1991	Houston (USA)	0	0	0	0	Swimming	Women's 200m Butterfly
Luke Adams	Australia	35	189	70	М	10 22 1976	MVUMI (TAN)	0	0	0	0	Athletics	Men's 50km Race Walk
Lyukman Adams	Russian Federation	23	194	87	М	9 24 1988	Leningrad (RUS)	0	0	0	0	Athletics	Men's Triple Jump
Nicola Adams	Great Britain	29	164		Ж	10 26 1982		0	0	0	0	Boxing	Women's Fly (51kg)
Valerie Adams	New Zealand	27	193	120	Ж	10 06 1984	Rotorua (NZL)	0	0	0	0	Athletics	Women's Shot Put
Filip Adamski	Germany	29	189	90	М	01 05 1983		1	0	0	1	Rowing	Men's Eight
Jakub Adamski	Poland	24	183	75	М	11 11 1987	GORZOW WIELKOPOLSKI (POL)	0	0	0	0	Athletics	Men's 4 x 100m Relay
Chris Adcock	Great Britain	23	183	80	М	4 27 1989	Leicester	0	0	0	0	Badminton	Mixed Doubles
Jangy Addy	Liberia	27	188	88	М	02 03 1985	Monrovia (LBR)	0	0	0	0	Athletics	Men's Decathlon
Abrar Osman Adem	Eritrea	18	168	58	М	01 01 1994	ADI SHIMAGLE (ERI)	0	0	0	0	Athletics	Men's 5000m
Margaret Adeoye	Great Britain	27	162	65	Ж	4 22 1985	Lagos (NGR)	0	0	0	0	Athletics	Women's 200m
Seun Adigun	Nigeria	25	153	52	Ж	01 03 1987	ILLINOIS (USA)	0	0	0	0	Athletics	Women's 100m Hurdles
Jonna Adlerteg	Sweden	17	153		Ж	06 06 1995	Vasteras (SWE)	0	0	0	0	Gymnastics - Artistic	Women's Qualification
Rebecca Adlington	Great Britain	23	179	70	Ж	2 17 1989	Mansfield (GBR)	0	0	1	1	Swimming	Women's 400m Freestyle, Women's 800m Freestyle
Nathan Adrian	United States of America	23	201	102	М	12 07 1988	Bremerton (USA)	1	1	0	2	Swimming	Men's 100m Freestyle, Men's 4x100m Freestyle Relay
Jasper Aerents	Belgium	19	190	84	М	12 18 1992	Gent (BEL)	0	0	0	0	Swimming	Men's 50m Freestyle, Men's 4x100m Freestyle Relay
Sara Aerts	Belgium	28	182	64	Ж	1 25 1984	Turnhout (BEL)	0	0	0	0	Athletics	Women's Heptathlon
Kseniia Afanaseva	Russian Federation	20	158		Ж	9 13 1991	Tula (RUS)	0	1	0	1	Gymnastics - Artistic	Women's Team, Women's Qualification
Francois Affolter	Switzerland	21	186	74	М	3 13 1991		0	0	0	0	Football	Men's Football
Alvaro Affonso de Miranda Neto	Brazil	39			М	02 05 1973	Sao Paulo (BRA)	0	0	0	0	Equestrian	Individual Jumping, Team Jumping, RAHMANNSHOF'S BOGENO
Christos Afroudakis	Greece	28	188	88	М	5 23 1984	Ath√≠na (GRE)	0	0	0	0	Water Polo	Men's Water Polo
Georgios Afroudakis	Greece	35	194	103	М	10 17 1976	Ath√≠na (GRE)	0	0	0	0	Water Polo	Men's Water Polo
Dragos Agache	Romania	28	175	75	М	03 08 1984	Braila (ROU)	0	0	0	0	Swimming	Men's 100m Breaststroke
Alphonsine Agahozo	Rwanda	16	160	50	Ж	7 18 1996	NYARUGENGE	0	0	0	0	Swimming	Women's 50m Freestyle
Luca Agamennoni	Italy	31	188	96	М	08 08 1980		0	0	0	0	Rowing	Men's Four
Mawussi Agbetoglo	Togo	18			М	12 24 1993	AGOME	0	0	0	0	Table Tennis	Men's Singles
Marilyn Agliotti	Netherlands	33	171	61	Ж	6 23 1979	BOKSBURG (RSA)	0	0	0	0	Hockey	Women's Hockey
Yannick Agnel	France	20	202	90	М	06 09 1992	Nimes (FRA)	2	1	0	3	Swimming	Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay
Anna Agrafioti	Greece	21	178	76	Ж	04 10 1991	CHOLARGOS (GRE)	0	0	0	0	Sailing	Women's Laser Radial
Ulrika Agren	Sweden	25	177	66	Ж	7 13 1987		0	0	0	0	Handball	Women's Handball
Renzo Agresta	Brazil	27			М	6 27 1985		0	0	0	0	Fencing	Men's Individual Sabre
Mayra Aguiar	Brazil	21	178	78	Ж	08 03 1991	Porto Alegre (BRA)	0	0	1	1	Judo	Women's -78kg
Alberto Aguilar	Venezuela	27	194	80	М	03 09 1985	SAN FEERNANDO (VEN)	0	0	0	0	Athletics	Men's 4 x 400m Relay
Alessandra Aguilar	Spain	34	165	50	Ж	07 01 1978	Lugo (ESP)	0	0	0	0	Athletics	Women's Marathon
Sandra Aguilar	Spain	19	167		Ж	08 09 1992	Madrid (ESP)	0	0	0	0	Gymnastics - Rhythmic	Group All-Around
Macarena Aguilar Diaz	Spain	27	170	67	Ж	03 12 1985		0	0	0	0	Handball	Women's Handball
Inaki Aguilar Vicente	Spain	28	189	82	М	09 09 1983	Barcelona (ESP)	0	0	0	0	Water Polo	Men's Water Polo
Julen Aguinagalde Akizu	Spain	29	196	113	М	12 02 1982		0	0	0	0	Handball	Men's Handball
Jeinkler Aguirre	Cuba	22			М	6 14 1990	Camaguey (CUB)	0	0	0	0	Diving	Men's 10m Platform, Men's Synchronised 10m Platform
Marcelo Aguirre	Paraguay	19	174	66	М	1 21 1993	ASUNCION (PAR)	0	0	0	0	Table Tennis	Men's Singles
Matias Aguirregaray	Uruguay	23	178	79	М	04 01 1989		0	0	0	0	Football	Men's Football
Mikel Aguirrezabalaga Garcia	Spain	28	196	92	М	04 08 1984		0	0	0	0	Handball	Men's Handball
Feta Ahamada	Comoros	25	160	50	Ж	6 24 1987	CLICHY	0	0	0	0	Athletics	Women's 100m
Johanna Ahlm	Sweden	24	175	65	Ж	10 03 1987		0	0	0	0	Handball	Women's Handball
Christian Ahlmann	Germany	37	192	88	М	12 17 1974	MARL (GER)	0	0	0	0	Equestrian	Individual Jumping, Team Jumping, CODEX ONE
Tontowi Ahmad	Indonesia	25	178	68	М	7 18 1987	BANYUMAS	0	0	0	0	Badminton	Mixed Doubles
Waseem Ahmad	Pakistan	35			М	04 10 1977		0	0	0	0	Hockey	Men's Hockey
Elaheh Ahmadi	Islamic Republic of Iran	30	160	58	Ж	5 31 1982	Tehran (IRI)	0	0	0	0	Shooting	Women's 10m Air Rifle, Women's 50m Rifle 3 Positions
Emin Ahmadov	Azerbaijan	25	170	74	М	10 06 1986	Baku (AZE)	0	0	0	0	Wrestling	Men's 74kg Greco-Roman
Abdelrahman Ahmed	Egypt	23	176		М	10 07 1988	Cairo (EGY)	0	0	0	0	Taekwondo	Men's -80kg
Abdou Omar Abdou Ahmed	Egypt	23	172	66	М	2 22 1989	SUEZ (EGY)	0	0	0	0	Wrestling	Men's 66kg Freestyle
Ahmed Abdulkareem Ahmed	Iraq	20			М	4 28 1992	BAGHDAD (IRQ)	0	0	0	0	Boxing	Men's Welter (69kg)
Azneem Ahmed	Maldives	23	169	65	М	01 01 1989	HDH.KULHUDHUFFUSHI (MDV)	0	0	0	0	Athletics	Men's 100m
Esmat Ahmed	Egypt	25	165	68	Ж	11 20 1986	ALEX	0	0	0	0	Weightlifting	Women's 69kg
Fareed Ahmed	Pakistan	23			М	4 28 1989		0	0	0	0	Hockey	Men's Hockey
Mohammed Ahmed	Canada	21	190	60	М	01 05 1991	Mogadishu (SOM)	0	0	0	0	Athletics	Men's 10,000m
Shehab Ahmed	Egypt	21	174	73	М	8 22 1990		0	0	0	0	Football	Men's Football
Odile Ahouanwanou	Benin	21	178	71	Ж	01 05 1991	SAVALOU (BEN)	0	0	0	0	Athletics	Women's 100m Hurdles
Murielle Ahoure	C√¥te d'Ivoire	24	170	57	Ж	8 23 1987	Abidjan (CIV)	0	0	0	0	Athletics	Women's 100m, Women's 200m
Gaby Diana Ahrens	Namibia	31	170	60	Ж	3 15 1981	Windhoek (NAM)	0	0	0	0	Shooting	Women's Trap
Mohammad Ahsan	Indonesia	24	174	66	М	09 07 1987	PALEMBANG	0	0	0	0	Badminton	Men's Doubles
Johannes Ahun	Estonia	24	188	80	М	12 22 1987	Tallinn (EST)	0	0	0	0	Sailing	Men's RS-X
Michelle-Lee Ahye	Trinidad and Tobago	20	160	64	Ж	04 10 1992	Port of Spain (TRI)	0	0	0	0	Athletics	Women's 100m, Women's 4 x 100m Relay
Matteo Aicardi	Italy	26	192	104	М	4 19 1986	FINALE LIGURE (ITA)	0	0	0	0	Water Polo	Men's Water Polo
Neringa Aidietyte	Lithuania	29	177	61	Ж	06 05 1983	Vilnius (LTU)	0	0	0	0	Athletics	Women's 20km Race Walk
Hannes Aigner	Germany	23	183	80	М	3 19 1989	Augsburg (GER)	0	0	1	1	Canoe Slalom	Men's Kayak (K1)
Ben Ainslie	Great Britain	35	183	90	М	02 05 1977	Macclesfield (GBR)	0	0	0	0	Sailing	Men's Finn
Tassadit Aissou	Algeria	23	184	80	Ж	6 19 1989		0	0	0	0	Volleyball	Women's Volleyball
Souad Ait Salem	Algeria	33	167	50	Ж	01 06 1979	MECHERIA NAAMA (ALG)	0	0	0	0	Athletics	Women's Marathon
Gulnafis Aitmukhambetova	Kazakhstan	24	175		Ж	02 02 1988	Atyrau (KAZ)	0	0	0	0	Taekwondo	Women's -67kg
Marina Aitova	Kazakhstan	29	178	59	Ж	9 13 1982	Almaty (KAZ)	0	0	0	0	Athletics	Women's High Jump
Henriette Akaba Edoa	Cameroon	20	160	65	Ж	06 07 1992		0	0	0	0	Football	Women's Football
Muideen Akanji	Nigeria	20			М	05 12 1992	Lagos (NGR)	0	0	0	0	Boxing	Men's Middle (75kg)
Tolga Akcayli	St Vincent and the Grenadines	19			М	4 15 1993	United Kingdom (GBR)	0	0	0	0	Swimming	Men's 50m Freestyle
Tarik Langat Akdag	Turkey	24			М	6 16 1988	Nandi (KEN)	0	0	0	0	Athletics	Men's 3000m Steeplechase
Ahmet Akdilek	Turkey	24	178	67	М	03 10 1988	KARAMAN (TUR)	0	0	0	0	Cycling - Road	Men's Individual Time Trial, Men's Road Race
Taha Akgul	Turkey	21	192	120	М	11 22 1990	Sivas (TUR)	0	0	0	0	Wrestling	Men's 120kg Freestyle
Habibollah Jomeh Akhlaghi	Islamic Republic of Iran	27	179	84	М	08 03 1985	ANDIMESHK (IRI)	0	0	0	0	Wrestling	Men's 84kg Greco-Roman
Artur Akhmatkhuzin	Russian Federation	24	182	74	М	5 21 1988		0	0	0	0	Fencing	Men's Individual Foil, Men's Team Foil
Esther Akihary	Netherlands	25	166	56	Ж	4 14 1987	VEENENDAAL (NED)	0	0	0	0	Athletics	Women's 4 x 100m Relay
Ozge Akin-Gurler	Turkey	27			Ж	6 17 1985	AKHISAR (TUR)	0	0	0	0	Athletics	Women's 4 x 400m Relay
Foluke Akinradewo	United States of America	24	191	79	Ж	10 05 1987	London (CAN)	0	0	0	0	Volleyball	Women's Volleyball
Jonathan Akinyemi	Nigeria	23	183	79	М	11 22 1988	WARRINGTON (GBR)	0	0	0	0	Canoe Slalom	Men's Kayak (K1)
Khadzhimurat Akkaev	Russian Federation	27	178	105	М	3 27 1985	TURNAUZ (RUS)	0	0	0	0	Weightlifting	Men's 105kg
Malika Akkaoui	Morocco	24	160	49	Ж	12 25 1987	ZAIDA (MAR)	0	0	0	0	Athletics	Women's 800m
Adnan Taess Akkar	Iraq	32	165	78	М	3 24 1980	WASSIT (IRQ)	0	0	0	0	Athletics	Men's 800m
Youssef Akrout	Tunisia	21	180	78	М	11 15 1990	Tunis (TUN)	0	0	0	0	Sailing	Men's Laser
Chie Akutsu	Japan	27	155	51	Ж	9 15 1984	IMAICHI (JPN)	0	0	0	0	Hockey	Women's Hockey
Noah Akwu	Nigeria	21	160	74	М	9 23 1990	Enugu (NGR)	0	0	0	0	Athletics	Men's 200m
Ahmed Ali Al Abri	United Arab Emirates	22	171	72	М	1 28 1990		0	0	0	0	Football	Men's Football
Noor Amer Al Ameri	Iraq	18			Ж	01 12 1994	KARBALA (IRQ)	0	0	0	0	Shooting	Women's 10m Air Pistol
Omar Abdulrahman Al Amoudi	United Arab Emirates	20	168	62	М	9 20 1991		0	0	0	0	Football	Men's Football
Abdulaziz Hussain Al Balooshi	United Arab Emirates	21	178	66	М	09 10 1990		0	0	0	0	Football	Men's Football
Mubarak Al Besher	United Arab Emirates	24			М	7 15 1988	DUBAI (UAE)	0	0	0	0	Swimming	Men's 100m Breaststroke
Ramzy Al Duhami	Saudi Arabia	40			М	01 05 1972	Riyadh (KSA)	0	0	0	0	Equestrian	Individual Jumping, Team Jumping, BAYARD VAN DE VILLA THERE
Rashed Eisa Al Falasi	United Arab Emirates	21	176	65	М	8 24 1990		0	0	0	0	Football	Men's Football
Habib Fardan Al Fardan	United Arab Emirates	21	179	71	М	11 11 1990		0	0	0	0	Football	Men's Football
Bahaa Al Farra	Palestine	21	175	65	М	03 10 1991	KHAN YOUNIS (PLE)	0	0	0	0	Athletics	Men's 400m
Ali Mabkhout Al Hajeri	United Arab Emirates	21	176	71	М	10 05 1990		0	0	0	0	Football	Men's Football
Bahya Mansour Al Hamad	Qatar	20	166	69	Ж	6 21 1992	Qatar (QAT)	0	0	0	0	Shooting	Women's 10m Air Rifle, Women's 50m Rifle 3 Positions
Amer Abdulrahman Al Hammadi	United Arab Emirates	23	168	68	М	07 03 1989		0	0	0	0	Football	Men's Football
Ismail Al Hammadi	United Arab Emirates	24	173	68	М	07 01 1988		0	0	0	0	Football	Men's Football
Ahmed Al Hatmi	Oman	27	170	70	М	11 27 1984	AL RUSTAQ (OMA)	0	0	0	0	Shooting	Men's Double Trap
Ismaeil Matar Al Jneibi	United Arab Emirates	29	169	68	М	04 07 1983		0	0	0	0	Football	Men's Football
Ahmed Khalil Al Junaibi	United Arab Emirates	21	178	75	М	06 08 1991		0	0	0	0	Football	Men's Football
Dawoud Sulaiman Al Quiwaitaei	United Arab Emirates	22	181	80	М	3 21 1990		0	0	0	0	Football	Men's Football
Hrh Prince Abdullah Al Saud	Saudi Arabia	27			М	10 13 1984	London (GBR)	0	0	0	0	Equestrian	Individual Jumping, Team Jumping, DAVOS
Ali Ahmed Al-Amri	Saudi Arabia	27			М	1 29 1985	Ta√Øf (KSA)	0	0	0	0	Athletics	Men's 3000m Steeplechase
Rashid Al-Athba	Qatar	31	180	104	М	8 18 1980	Qatar (QAT)	0	0	0	0	Shooting	Men's Trap, Men's Double Trap
Nasser Al-Attiya	Qatar	41	178	70	М	12 21 1970	Qatar (QAT)	0	0	1	1	Shooting	Men's Skeet
Mohammad Al-Azemi	Kuwait	30	187	65	М	6 16 1982	KUWAIT (KUW)	0	0	0	0	Athletics	Men's 800m
Mohanad Ahmed Dheyaa Al-Azzawi	Iraq	15	173	65	М	9 21 1996	BAGHDAD (IRQ)	0	0	0	0	Swimming	Men's 100m Butterfly
Sultan Mubarak Al-Dawoodi	Saudi Arabia	35			М	6 16 1977	Bisha (KSA)	0	0	0	0	Athletics	Men's Discus Throw
Mostafa Al-Gamel	Egypt	23	191	96	М	10 01 1988	GEIZA (EGY)	0	0	0	0	Athletics	Men's Hammer Throw
Nabil Mohammed Al-Garbi	Yemen	18	175	65	М	11 03 1993	DHAMAR (YEM)	0	0	0	0	Athletics	Men's 1500m
Mohamad Al-Garni	Qatar	20	170	55	М	07 02 1992	MOROCCO (MAR)	0	0	0	0	Athletics	Men's 1500m
Shinoona Salah Al-Habsi	Oman	19	162	60	Ж	07 03 1993	AL KHOUDH (OMA)	0	0	0	0	Athletics	Women's 100m
Barakat Mubarak Al-Harthi	Oman	24	171	67	М	6 15 1988	Ibra (OMA)	0	0	0	0	Athletics	Men's 100m
Safaa Al-Jumaili	Iraq	22	175	83	М	01 01 1990	DIYALA	0	0	0	0	Weightlifting	Men's 85kg
Hamdan Al-Kamali	United Arab Emirates	23	183	74	М	05 02 1989		0	0	0	0	Football	Men's Football
Tameem Mohammed Ahmed Al-Kubati	Yemen	23	168		М	01 01 1989	SANA'A (YEM)	0	0	0	0	Taekwondo	Men's -58kg
Noor Hussain Al-Malki	Qatar	17	155	43	Ж	10 21 1994	Doha (QAT)	0	0	0	0	Athletics	Women's 100m
Rand Al-Mashhadani	Iraq	17	160	50	Ж	08 11 1994	BAGHDAD	0	0	0	0	Archery	Women's Individual
Ahmed Mohamed Al-Merjabi	Oman	21	170	65	М	09 09 1990	Ibra (OMA)	0	0	0	0	Athletics	Men's 400m
Ahmad Kh A Al-Molad	Saudi Arabia	24			М	2 16 1988	Jeddah (KSA)	0	0	0	0	Athletics	Men's 110m Hurdles
Moukheld Al-Outaibi	Saudi Arabia	36			М	6 20 1976	Ta√Øf (KSA)	0	0	0	0	Athletics	Men's 5000m, Men's 10,000m
Fawaz Al-Shammari	Kuwait	35			М	04 03 1977	KUWAIT (KUW)	0	0	0	0	Athletics	Men's 110m Hurdles
Majed Al-Tamimi	Saudi Arabia	40			М	8 21 1971	SAUDI ARABIA (KSA)	0	0	0	0	Shooting	Men's Skeet
Ali Mohamed Al-Zinkawi	Kuwait	28	195	110	М	2 27 1984	KUWAIT (HUN)	0	0	0	0	Athletics	Men's Hammer Throw
Mahmoud Alaa Eldin	Egypt	21	189	84	М	01 01 1991		0	0	0	0	Football	Men's Football
Marina Alabau Neira	Spain	26	164	55	Ж	8 31 1985	Sevilla (ESP)	0	0	0	0	Sailing	Women's RS-X
Danielle Alakija	Fiji	16	182	71	Ж	05 03 1996	Hillingdon (GBR)	0	0	0	0	Athletics	Women's 400m
Ali Salem Ahmed Faraj Alameri	United Arab Emirates	23	175	73	М	01 07 1989		0	0	0	0	Football	Men's Football
Yenew Alamirew	Ethiopia	22	178	57	М	5 27 1990	TILILI (ETH)	0	0	0	0	Athletics	Men's 5000m
Noshad Alamiyan	Islamic Republic of Iran	20	170	65	М	11 21 1991	BABOL	0	0	0	0	Table Tennis	Men's Singles
Mariem Alaoui Selsouli	Morocco	28	158	42	Ж	07 08 1984	MARRAKECH MEDINA (MAR)	0	0	0	0	Athletics	Women's 1500m, Women's 5000m
