ФИО	Страна	Возраст	Рост, см	Вес	Пол	Дата рождения	Место рождения	Золото	Серебро	Бронза	Всего	Вид спорта	Состязание
Xiayan Li	People's Republic of China	22	199	98	М	12 17 1989	Yunnan (CHN)	0	0	0	0	Swimming	Men's 100m Breaststroke, Men's 4x100m Medley Relay
Xuanxu Li	People's Republic of China	18	165	55	Ж	02 05 1994	HUNAN (CHN)	0	0	1	1	Swimming	Women's 400m Freestyle, Women's 400m Individual Medley
Xue Li	France	27	165	64	Ж	4 14 1985	BOSHAN DE ZIBO SH.	0	0	0	0	Table Tennis	Women's Singles
Xuerui Li	People's Republic of China	21	170	60	Ж	1 24 1991	Chongqing	0	0	0	0	Badminton	Women's Singles
Xueying Li	People's Republic of China	22	161	58	Ж	5 15 1990	HENAN	1	0	0	1	Weightlifting	Women's 58kg
Yanfeng Li	People's Republic of China	33	179	93	Ж	5 15 1979	Heilongjiang (CHN)	0	0	0	0	Athletics	Women's Discus Throw
Yanmei Li	People's Republic of China	22	172	56	Ж	02 06 1990	Guangdong (CHN)	0	0	0	0	Athletics	Women's Triple Jump
Yunqi Li	People's Republic of China	18	193	82	М	8 28 1993	HENAN (CHN)	0	0	1	1	Swimming	Men's 200m Freestyle, Men's 4x200m Freestyle Relay
Zhangli Li	People's Republic of China	24	175	74	Ж	7 23 1988		0	0	0	0	Canoe Sprint	Women's Kayak Four (K4) 500m
Zhenzhu Li	People's Republic of China	26	168	52	Ж	12 13 1985	Nei Monggol (CHN)	0	0	0	0	Athletics	Women's 3000m Steeplechase
Zhilong Li	People's Republic of China	24	180	70	М	03 09 1988	Beijing (CHN)	0	0	0	0	Athletics	Men's 400m Hurdles
Zicheng Li	People's Republic of China	22	172	55	М	04 10 1990	Shandong (CHN)	0	0	0	0	Athletics	Men's Marathon
Nioun Chin Elodie Li Yuk Lo	Mauritius	29	173	74	Ж	9 29 1982		0	0	0	0	Beach Volleyball	Women's Beach Volleyball
Vadzim Lialin	Belarus	29	199	101	М	11 15 1982		0	0	0	0	Rowing	Men's Four
Jiahong Liang	People's Republic of China	24	184	84	М	03 06 1988	Guangdong (CHN)	0	0	0	0	Athletics	Men's 4 x 100m Relay
Jing Liang	People's Republic of China	27	172	60	Ж	01 04 1985	Shandong (CHN)	0	0	0	0	Cycling - Track	Women's Team Pursuit
Lei Liang	People's Republic of China	30	200	120	М	04 03 1982	SHANXI (CHN)	0	0	0	0	Wrestling	Men's 120kg Freestyle
Meiyu Liang	People's Republic of China	18	166	65	Ж	01 08 1994	Jilin (CHN)	0	0	0	0	Hockey	Women's Hockey
Hanna Liapeshka	Belarus	27	168	65	Ж	7 18 1985	Brest (BLR)	0	0	0	0	Athletics	Women's 4 x 100m Relay
Linus Lichtschlag	Germany	23	188	72	М	09 04 1988		0	0	0	0	Rowing	Men's Lightweight Double Sculls
Marlon Licona	Honduras	21	164	55	М	02 09 1991		0	0	0	0	Football	Men's Football
Jimmy Lidberg	Sweden	30	191	96	М	4 13 1982	Farsta (SWE)	0	0	0	0	Wrestling	Men's 96kg Greco-Roman
Anders Lie	Denmark	21	186	70	М	04 11 1991	FREDERIKSBERG (DEN)	0	0	0	0	Swimming	Men's 4x200m Freestyle Relay
Luis Ygnacio Liendo	Venezuela	31	172	60	М	11 25 1980	Caracas (VEN)	0	0	0	0	Wrestling	Men's 60kg Greco-Roman
